ITEM	QTY/BD	REF DES	DESCRIPTION	Mfr.	Mfr's PN	NOTES
1	4	X3/R5,X3/R8,X4/R5,X4/R8	RESISTOR 21.5 1% 1/10W 0603	**MISSING**	**MISSING**	
2	4	X3/C1,X3/C4,X4/C1,X4/C4	CAPACITOR 10pF 100WVDC NP0 0603	**MISSING**	**MISSING**	
3	4	X3/R2,X3/R4,X4/R2,X4/R4	RESISTOR 200k 1% 0603	Panasonic Electronic Components	ERJ-3EKF2003V	
4	4	X3/R1,X3/R3,X4/R1,X4/R3	RESISTOR 56.2k 1% 0603	**MISSING**	**MISSING**	
5	4	X3/R7,X3/R9,X4/R7,X4/R9	RESISTOR 604k 1% 0603	Panasonic Electronic Components	ERJ-3EKF6043V	
6	4	X3/X10/R4,X3/X5/R4,X4/X10/R4,X4/X5/R4	RESISTOR 38.3k 1% 1/10W 0603	**MISSING**	**MISSING**	
7	4	X3/X10/R1,X3/X5/R1,X4/X10/R1,X4/X5/R1	RESISTOR 66.5k 1% 1/10W 0603	**MISSING**	**MISSING**	
8	4	X3/X10/R2,X3/X5/R2,X4/X10/R2,X4/X5/R2	RESISTOR 73.2k 1% 1/10W 0603	**MISSING**	**MISSING**	
9	8	X3/X10/C1,X3/X10/C6,X3/X5/C1,X3/X5/C6,X4/X10/C1,X4/X10/C6,X4/X5/C1,X4/X5/C6	CAPACITOR 4.7pF 100WVDC NP0 0603	**MISSING**	**MISSING**	
10	8	X3/X10/R13,X3/X10/R3,X3/X5/R13,X3/X5/R3,X4/X10/R13,X4/X10/R3,X4/X5/R13,X4/X5/R3	RESISTOR 1k 1% 1/10W 0603	Panasonic Electronic Components	 ERJ-3EKF1001V	
11	8	X3/X10/R17,X3/X10/R7,X3/X5/R17,X3/X5/R7,X4/X10/R17,X4/X10/R7,X4/X5/R17,X4/X5/R7	RESISTOR 499 1% 1/10W 0603	**MISSING**	**MISSING**	
12	8	X3/X10/R16,X3/X10/R6,X3/X5/R16,X3/X5/R6,X4/X10/R16,X4/X10/R6,X4/X5/R16,X4/X5/R6	RESISTOR 20k 1% 1/10W 0603	**MISSING**	**MISSING**	
13	8	X3/X10/R19,X3/X10/R9,X3/X5/R19,X3/X5/R9,X4/X10/R19,X4/X10/R9,X4/X5/R19,X4/X5/R9	RESISTOR 16.9 1% 1/10W 0603	**MISSING**	**MISSING**	
14	16	X3/X10/R11,X3/X10/R20,X3/X10/R23,X3/X10/R24,X3/X5/R11,X3/X5/R20,X3/X5/R23,X3/X5/R24,X4/X10/R11,X4/X10/R20,X4/X10/R23,X4/X10/R24,X4/X5/R11,X4/X5/R20,X4/X5/R23,X4/X5/R24	RESISTOR 10 1% 1/10W 0603	**MISSING**	**MISSING**	
15	24	X3/X10/Q1,X3/X10/Q5,X3/X10/Q6,X3/X2/X1/Q4,X3/X2/X2/Q4,X3/X3/X1/Q4,X3/X3/X2/Q4,X3/X4/X1/Q4,X3/X4/X2/Q4,X3/X5/Q1,X3/X5/Q5,X3/X5/Q6,X4/X10/Q1,X4/X10/Q5,X4/X10/Q6,X4/X2/X1/Q4,X4/X2/X2/Q4,X4/X3/X1/Q4,X4/X3/X2/Q4,X4/X4/X1/Q4,X4/X4/X2/Q4,X4/X5/Q1,X4/X5/Q5,X4/X5/Q6	NPN_TRANSISTOR MMBT2222A unknown UB	**MISSING**	**MISSING**	
16	12	X3/X2/X1/R7,X3/X2/X2/R7,X3/X3/X1/R7,X3/X3/X2/R7,X3/X4/X1/R7,X3/X4/X2/R7,X4/X2/X1/R7,X4/X2/X2/R7,X4/X3/X1/R7,X4/X3/X2/R7,X4/X4/X1/R7,X4/X4/X2/R7	RESISTOR 360 5% 1/2W 2010	**MISSING**	**MISSING**	
17	12	X3/X2/X1/Q2,X3/X2/X2/Q2,X3/X3/X1/Q2,X3/X3/X2/Q2,X3/X4/X1/Q2,X3/X4/X2/Q2,X4/X2/X1/Q2,X4/X2/X2/Q2,X4/X3/X1/Q2,X4/X3/X2/Q2,X4/X4/X1/Q2,X4/X4/X2/Q2	NMOS_TRANSISTOR IRFR220N unknown TO252AA	**MISSING**	**MISSING**	
18	12	X3/X2/X1/Q1,X3/X2/X2/Q1,X3/X3/X1/Q1,X3/X3/X2/Q1,X3/X4/X1/Q1,X3/X4/X2/Q1,X4/X2/X1/Q1,X4/X2/X2/Q1,X4/X3/X1/Q1,X4/X3/X2/Q1,X4/X4/X1/Q1,X4/X4/X2/Q1	PMOS_TRANSISTOR IRFR9120N unknown TO252AA	**MISSING**	**MISSING**	
